Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
Here here in 2022 I know I am,0.0,Neutral,0.0,Neutral,0.5665489435195923,Positive
That should be cool 3:43,0.3182,Positive,0.35,Positive,0.4762610197067261,Positive
The houre got a v100,0.0,Neutral,0.0,Neutral,0.29938805103302,Neutral
Billy Ray man u should put some slash type solos in the track man would been awesome too listen too live! Awesome song,0.8122,Positive,0.7234848484848485,Positive,0.5789975523948669,Positive
Quick qiestion,0.0,Neutral,0.3333333333333333,Positive,0.3573746383190155,Positive
My dad played this song and I was like whaaaaaaaaaat? A black cowboy??? Niiiice! 🤠 booooogitie booooogtie!!!!!,0.7922,Positive,-0.6357828776041665,Negative,-0.4460715651512146,Negative
0:27 a slap of acting,0.1531,Positive,0.0,Neutral,-0.6983056664466858,Negative
https://youtube.com/clip/Ugkxw5M2ulgCPHy4nq0lfi5RjDYn_6X5rEno,0.0,Neutral,0.0,Neutral,-0.2642543613910675,Negative
"""You need to have faith Arthur have some damn FAITH!""",0.6027,Positive,0.0,Neutral,0.3148883581161499,Neutral
ppozzff,0.0,Neutral,0.0,Neutral,0.2227430641651153,Neutral
Aaliyah mcpherson no yes,-0.3089,Negative,0.0,Neutral,-0.4642056226730346,Negative
Faster than a Will Smith slap after a Jada joke.🤣,0.7184,Positive,0.0,Neutral,0.5022215247154236,Positive
I could of sworn it was 4 years ago this came out,0.0,Neutral,0.0,Neutral,-0.325130432844162,Negative
bro i didn’t realize that was chris rock at the beginning 😂,0.4404,Positive,0.0,Neutral,0.3210935592651367,Neutral
BRO IS THAT CHRIS ROCK,0.0,Neutral,0.0,Neutral,0.2426207661628723,Neutral
"The place name iam living is old town 
Holy shot ⚽",0.0,Neutral,0.1,Positive,0.2940209805965423,Neutral
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
негры это класс,0.0,Neutral,0.0,Neutral,0.2753638625144958,Neutral
This my jam! Bruh,0.0,Neutral,0.0,Neutral,-0.3888593018054962,Negative
Alguém q e brasileiro,0.0,Neutral,0.0,Neutral,-0.4914468228816986,Negative
"Wait, how did the horse fit in the hole?",0.3612,Positive,0.4,Positive,-0.3680740892887115,Negative
Kdkf,0.0,Neutral,0.0,Neutral,0.2693108320236206,Neutral
😍,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
"LIL NAS X  may be talented ...but his dumb $#!@  he is pulling on a few of his videos is DISGUSTING and WRONG. For instance....his video for the song ""Industry Baby"" shows a bunch of naked dudes with their dongs flopping around I jail. and then the inmates take overtake the guards and rape them",-0.9753,Negative,-0.2241071428571428,Negative,-0.592414379119873,Negative
ousman dempele 😂,0.4404,Positive,0.0,Neutral,-0.2371386289596557,Negative
Bro Gay Nas X,0.0,Neutral,0.4166666666666667,Positive,-0.2405771315097808,Negative
Me and cousin vibed to this in 2019 the good old days,0.4404,Positive,0.3999999999999999,Positive,0.5316721200942993,Positive
Lol how am I just now seeing this. Amazing video,0.8074,Positive,0.7000000000000001,Positive,0.8917168974876404,Positive
"En el 1889, sin ofender mataban a las personas negras",-0.5803,Negative,-0.1833333333333333,Negative,-0.5955949425697327,Negative
634 Million Views holy shit never seen a video with that many views before,-0.5574,Negative,0.15,Positive,-0.7873175740242004,Negative
Ihan paras,0.6369,Positive,1.0,Positive,-0.274118959903717,Negative
Start at 1:45,0.0,Neutral,0.0,Neutral,-0.3051138818264007,Negative
cool super,0.7351,Positive,0.3416666666666667,Positive,0.7701635956764221,Positive
🏩🧨🤠🤠🤠🤠🤠🤠🤠💪😎👍🤠🧨💣😑😍🤣💞💀,0.9382,Positive,0.0,Neutral,0.3085779249668121,Neutral
Is de mooiste muziek gehoord😇🤫🤐🤢😱☠💀😤🚫🇦🇨🏴‍☠️🇺🇸,0.3384,Positive,0.675,Positive,0.6702272891998291,Positive
Dit is een mooie muziek,0.5994,Positive,0.85,Positive,0.4942131042480469,Positive
I love lil Nas x and his baby ❤️,0.6369,Positive,0.5,Positive,0.7511277198791504,Positive
"I love this song, especially being a fan of Red Dead, but Lil Nas X, you poor lost soul.  Don't let the world tell you that Christ doesn't love you just as you are.  Turn to Him and be healed.",-0.8983,Negative,0.0666666666666666,Positive,0.583637535572052,Positive
Liked when you came in😲from🇰🇪kenya,0.6597,Positive,0.6,Positive,0.3975974023342132,Positive
2 years?? 😭,-0.5362,Negative,0.0,Neutral,-0.3532699942588806,Negative
1:35,0.0,Neutral,0.0,Neutral,0.2165716886520385,Neutral
"""Old Spice"" ad came to my mind😂",0.4404,Positive,0.1,Positive,0.3586902916431427,Positive
"In the beginning, that guy looked kinda familiar",0.0,Neutral,0.375,Positive,0.4908498227596283,Positive
"I do not have a color preference 😜. However , I have a body type preference , and I am a mut fifty seven , so I like a pure breed .",0.4173,Positive,0.2142857142857142,Positive,0.4855905473232269,Positive
More like broke back mountain,-0.0735,Negative,0.25,Positive,-0.5322301387786865,Negative
Keep my horses name out ya fuckin mouth!,0.0,Neutral,0.0,Neutral,-0.4690046608448028,Negative
How pissed off was Billy after watching the new lil nas vids lol,-0.34,Negative,0.4681818181818182,Positive,-0.5365599989891052,Negative
Bass bosster yescon linas montero momer 1,0.0,Neutral,0.0,Neutral,0.323974996805191,Neutral
3:40 el momento que todos esperábamos,0.0,Neutral,0.0,Neutral,0.6171144247055054,Positive
I i,0.0,Neutral,0.0,Neutral,0.2469983100891113,Neutral
