Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
4mln Baxis Lazim,0.0,Neutral,0.0,Neutral,-0.2331350594758987,Negative
1B Views here we come.,0.0,Neutral,0.0,Neutral,0.3968598544597626,Positive
10億を手に入れましょう,0.0,Neutral,0.0,Neutral,0.3778373003005981,Positive
What a beat👌👌👌,0.9545,Positive,0.0,Neutral,0.5960328578948975,Positive
roblox intros in 2018:,0.0,Neutral,0.0,Neutral,0.346739262342453,Positive
1b view fastly,0.0,Neutral,0.2,Positive,0.2675801217556,Neutral
I wish to this song achieve 1 billion view's..!! Hello Alan Nice to see you💛❤️,0.8829,Positive,0.6,Positive,0.6002423167228699,Positive
INSPIRATION🤗🤗🤗,0.9106,Positive,0.0,Neutral,0.3085779249668121,Neutral
Nostalgia just hits hard every now and then that I press play,0.25,Positive,-0.2916666666666667,Negative,0.2781477868556976,Neutral
Love😍,0.802,Positive,0.0,Neutral,0.3085779249668121,Neutral
"The one in white is wearing PPE from Indonesia, right😂",0.4404,Positive,0.0,Neutral,-0.331273078918457,Negative
😇,0.4588,Positive,0.0,Neutral,0.3085779249668121,Neutral
Aca reviviendo 2019👍,0.0,Neutral,0.0,Neutral,0.3945108950138092,Positive
👍👍👍👍👍👍,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
What the fu** amazing 👏,0.5859,Positive,0.6000000000000001,Positive,0.8438523411750793,Positive
1B Soon 🥳,0.3818,Positive,0.0,Neutral,0.3594017624855041,Positive
Make that 2022,0.0,Neutral,0.0,Neutral,0.2595894038677215,Neutral
Who listening  this song 2020,0.0,Neutral,0.0,Neutral,0.4741681218147278,Positive
You are the best Alan 😁😁,0.8807,Positive,1.0,Positive,0.7961496710777283,Positive
This song is so cool 😉😉,0.4572,Positive,0.35,Positive,0.7421253323554993,Positive
Who's here before this masterpiece hits a billion views,0.7073,Positive,0.0,Neutral,0.6404761672019958,Positive
Who is here before a billion,0.0,Neutral,0.0,Neutral,0.3443323075771332,Positive
almost 1 bi,0.0,Neutral,0.0,Neutral,0.3139789700508117,Neutral
Road to 1b views!!!,0.0,Neutral,0.0,Neutral,0.4092429578304291,Positive
Hello Hello Can You Hear Me?,0.0,Neutral,0.0,Neutral,0.3395670652389526,Positive
"brabo melhor dj ,estrageiro sem duvida",0.7438,Positive,1.0,Positive,0.774963915348053,Positive
hello hello 🙋‍♂️,0.0,Neutral,0.0,Neutral,0.5720492005348206,Positive
I wish people notice this instead of baby shark that got 10billion while it doesn’t deserve rar it you have to be 1100billion,0.4019,Positive,0.0,Neutral,-0.321418434381485,Negative
2022🙂🙂😁,0.8133,Positive,0.0,Neutral,0.3085779249668121,Neutral
Quien ve esta joya en 2022,0.0,Neutral,0.0,Neutral,0.4151375591754913,Positive
COME ON 4 MILLION VEIWS AWAY FROM 1B,0.0,Neutral,0.0,Neutral,-0.5614141821861267,Negative
"Боже, я искал эту песню 4 года и наконец нашел её",0.2732,Positive,0.0,Neutral,0.6160866618156433,Positive
I love you Allan walker 💗💗😍,0.9584,Positive,0.5,Positive,0.8484691381454468,Positive
Who are u guys listening to this masterpiece in 2022?,0.7073,Positive,0.0,Neutral,0.4077180325984955,Positive
YOU MAKE GOOD MUSIC I HOPE YOU KEEP DOING MORE YOU MAKE MY DAY NEW SUBSCRIBER,0.7003,Positive,0.4454545454545455,Positive,0.5022167563438416,Positive
This tune is really a masterpiece because I see it in the lifestyle of every celebrity.,0.6573,Positive,0.2,Positive,0.8876858949661255,Positive
"4 more millions required to make it to 1 billion
*Let's do it guys* 💯💯",0.0,Neutral,0.5,Positive,-0.2710024118423462,Negative
🔥 Alan🙌🙌,-0.34,Negative,0.0,Neutral,0.3428077399730682,Positive
Is anyone there in 2022,0.0,Neutral,0.0,Neutral,-0.5819681882858276,Negative
estuve antes del billon,0.0,Neutral,0.0,Neutral,0.2564250528812408,Neutral
ROAD TO 1B VIEWS!!,0.0,Neutral,0.0,Neutral,0.4432537853717804,Positive
Warring: not for epilepsy but irs rlly good song,0.5558,Positive,0.7,Positive,0.4019887149333954,Positive
*Lets''go 1 Billion*,0.0,Neutral,0.0,Neutral,-0.6009956002235413,Negative
I love this one !! You killed it again Alan,-0.2225,Negative,0.290625,Positive,0.9202325344085692,Positive
A legendary SONG! Its the best song from Alan ! 4 Years AGO !!!,0.7482,Positive,1.0,Positive,0.9152882099151612,Positive
"It’s May 2022, let’s see how many legends are watching this until reach 1 Billion!",0.1007,Positive,0.625,Positive,-0.4354441165924072,Negative
The nostalgia this song gives is over the roof,0.0,Neutral,0.0,Neutral,0.4110433161258697,Positive
Act a anni pola Na maya,0.0,Neutral,0.0,Neutral,0.3607181012630462,Positive
Hi alan walker,0.0,Neutral,0.0,Neutral,0.2797669172286987,Neutral
"when i hear this song, i feel like being pushed back to 2017-2018, when i still played GT with my cousins and my other friends...",0.87,Positive,-0.0625,Negative,-0.2762648463249206,Negative
👍👍👍👍👍👍👍👍😘😘😘,0.8126,Positive,0.0,Neutral,0.3085779249668121,Neutral
Wow :O,0.3954,Positive,0.075,Positive,0.5786434412002563,Positive
kinh di qua 997 trieu luot xem voi á trieu nguoi dang ky,0.0,Neutral,0.5,Positive,-0.4266855120658874,Negative
Im Big Fan Of You,0.3182,Positive,0.0,Neutral,0.6182089447975159,Positive
i love you,0.6369,Positive,0.5,Positive,0.8546807765960693,Positive
1 bi soon?,0.0,Neutral,0.0,Neutral,0.2861779630184173,Neutral
Alan! Such an icon I used to be like in love with these songs!! You made history!,0.8346,Positive,0.48828125,Positive,0.927493691444397,Positive
Wow! You make me amaze,0.8221,Positive,0.125,Positive,0.80204838514328,Positive
Alan Walker number 1,0.0772,Positive,0.0,Neutral,0.480020135641098,Positive
Alan walker you are my most favorite person in the world,0.5095,Positive,0.5,Positive,0.8993322849273682,Positive
mano eu ouvia essa musica por horas quando eu tinha 5 anos,0.0,Neutral,0.0,Neutral,0.3393974602222442,Positive
Must Hit 1Billion to this masterpiece 🙏🏻😇,0.8349,Positive,0.0,Neutral,0.8749933838844299,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Way to 1 billion,0.0,Neutral,0.0,Neutral,-0.5349125862121582,Negative
Who are you stening to this perfect song in 2022 ?,0.657,Positive,1.0,Positive,0.7437222003936768,Positive
"i love this song  
🙂🙂🙂",0.9066,Positive,0.5,Positive,0.8624796271324158,Positive
1md for soon,0.0,Neutral,0.0,Neutral,0.3512759804725647,Positive
Nice song,0.4215,Positive,0.6,Positive,0.4662424027919769,Positive
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Alan has been wearing a mask even before covid. What a champ,0.4767,Positive,0.0,Neutral,0.481740653514862,Positive
beautiful song 🇧🇩🇧🇩🇧🇩,0.5994,Positive,0.85,Positive,0.7052157521247864,Positive
beautiful song 🇧🇩🇧🇩🇧🇩,0.5994,Positive,0.85,Positive,0.7052157521247864,Positive
beautiful song 🇧🇩🇧🇩🇧🇩,0.5994,Positive,0.85,Positive,0.7052157521247864,Positive
beautiful song 🇧🇩🇧🇩🇧🇩,0.5994,Positive,0.85,Positive,0.7052157521247864,Positive
Let's get this to 1 billion,0.0,Neutral,0.0,Neutral,-0.3974437415599823,Negative
Best song,0.6369,Positive,1.0,Positive,0.8334701657295227,Positive
🤘👍🤘🤘🤘👍👍👍👍🤘🤘🤘🤘👍👍👍🤘👍🤘👍🤘👍🤘👍🤘👍🤘👍👍👍🤘👍🤘👍🤘👍🤘👍🤘,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"Almost a BILLION VIEWS !!!
 👍👍👍👍
WE CAN DO IT!!!!!",0.0,Neutral,0.0,Neutral,0.7270587682723999,Positive
1 Billlon Congress 🤩🤩🤩,0.0,Neutral,0.0,Neutral,0.4156281054019928,Positive
Alan Walker is the best,0.6369,Positive,1.0,Positive,0.7137835025787354,Positive
Dajjal,0.0,Neutral,0.0,Neutral,0.2514544725418091,Neutral
1 Billion soon 😁😁,0.7184,Positive,0.0,Neutral,-0.4032160639762878,Negative
Top🤩,0.2023,Positive,0.0,Neutral,0.3085779249668121,Neutral
Rree,0.0,Neutral,0.0,Neutral,0.2968040704727173,Neutral
Let's go 1 billion!!,0.0,Neutral,0.0,Neutral,-0.5897193551063538,Negative
Almost 1 billion views,0.0,Neutral,0.0,Neutral,0.3252357244491577,Neutral
Only 4 million remain to 1 billion,0.0,Neutral,0.0,Neutral,-0.5468816161155701,Negative
It's almost over a billion!  come on!,0.0,Neutral,0.0,Neutral,0.4409040212631225,Positive
"0:54
2:10",0.0,Neutral,0.0,Neutral,-0.463810384273529,Negative
"i was playing games and i played this song press Ctrl and t to do that and i 
use 1080 hd",0.4939,Positive,0.0,Neutral,0.3144343495368957,Neutral
I am gonna leave this comment so that everytime someone likes this comment it reminds me of this song and I will start to sing along,0.3818,Positive,0.0,Neutral,0.6219622492790222,Positive
Keren we live we love we lie,0.6369,Positive,0.3181818181818182,Positive,0.6174321174621582,Positive
This song’s name let me finding FIVE years bro,0.0,Neutral,0.0,Neutral,0.6038457751274109,Positive
Who still sing this song 2022😄😄😄😄😄,0.9764,Positive,0.0,Neutral,0.5220323801040649,Positive
wowowoowo alan break the rules wowowowo powerful man,0.4215,Positive,0.3,Positive,0.76301109790802,Positive
Good old days🥹,0.4404,Positive,0.3999999999999999,Positive,0.4489069879055023,Positive
"I remember when 9 year old were vibing 24/7 to this song, absolute masterpiece",0.6249,Positive,0.15,Positive,0.9090149402618408,Positive
The workk qwilp,0.0,Neutral,0.0,Neutral,0.280702531337738,Neutral
Para mi esta canción es la mejor aque haya escuado de Alan walker,0.6369,Positive,1.0,Positive,0.7250887155532837,Positive
So no one else in 2022 watching?,-0.3597,Negative,0.0,Neutral,-0.3563262522220611,Negative
