Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
DJ bvtx,0.0,Neutral,0.0,Neutral,0.3161918222904205,Neutral
Block,-0.4404,Negative,0.0,Neutral,-0.3109413683414459,Negative
Stuff ed,0.0,Neutral,0.0,Neutral,0.4847904145717621,Positive
CL us,0.0,Neutral,0.0,Neutral,0.2518945038318634,Neutral
Con v,0.0,Neutral,0.0,Neutral,0.2551107108592987,Neutral
Fig HD,0.0,Neutral,0.0,Neutral,0.2848042845726013,Neutral
Fig RSS,0.0,Neutral,0.0,Neutral,0.2643353641033172,Neutral
Ch JCC,0.0,Neutral,0.0,Neutral,0.251787394285202,Neutral
Tfg at,0.0,Neutral,0.0,Neutral,0.3036358654499054,Neutral
Did,0.0,Neutral,0.0,Neutral,0.3279456794261932,Neutral
Du I've,0.0,Neutral,0.0,Neutral,0.2636169195175171,Neutral
Stuff SC,0.0,Neutral,0.0,Neutral,0.2899786233901977,Neutral
DJ on KB,0.0,Neutral,0.0,Neutral,0.2737343311309814,Neutral
DJ USB,0.0,Neutral,0.0,Neutral,0.3891449868679046,Positive
DJ ugh of,-0.4215,Negative,0.0,Neutral,0.2304853945970535,Neutral
Fig to,0.0,Neutral,0.0,Neutral,0.2801164090633392,Neutral
To kg TV,0.0,Neutral,0.0,Neutral,0.3160142004489898,Neutral
GI JB GB,0.0,Neutral,0.0,Neutral,0.2863635122776031,Neutral
Bob TD,0.0,Neutral,0.0,Neutral,0.3253465592861175,Neutral
Ch JB BBC,0.0,Neutral,0.0,Neutral,0.2562122941017151,Neutral
GI if rs,0.0,Neutral,0.0,Neutral,0.3528317511081695,Positive
Rob oh,-0.5574,Negative,0.0,Neutral,0.2482780367136001,Neutral
Ch hug,0.4767,Positive,0.0,Neutral,0.2718134820461273,Neutral
Did RSS,0.0,Neutral,0.0,Neutral,0.3037981986999511,Neutral
BM bb,0.0,Neutral,0.0,Neutral,0.2928869426250458,Neutral
CMC,0.0,Neutral,0.0,Neutral,0.2638908326625824,Neutral
Chi hhvv,0.0,Neutral,0.0,Neutral,0.2416879534721374,Neutral
Zig Huh,0.0,Neutral,0.0,Neutral,-0.3019448518753052,Negative
Ch hff,0.0,Neutral,0.0,Neutral,0.2459852546453476,Neutral
TJ KB HD,0.0,Neutral,0.0,Neutral,0.2472722977399826,Neutral
Du HD TV,0.0,Neutral,0.0,Neutral,0.4314707517623901,Positive
Don hhvv,0.0,Neutral,0.0,Neutral,-0.3602499961853027,Negative
Du pay HD,-0.1027,Negative,0.0,Neutral,0.4201481938362121,Positive
DJ HD a,0.0,Neutral,0.0,Neutral,0.3963532149791717,Positive
Fig fd,0.0,Neutral,0.0,Neutral,0.3162915408611297,Neutral
DJ KB h,0.0,Neutral,0.0,Neutral,0.2766299247741699,Neutral
Fig to,0.0,Neutral,0.0,Neutral,0.2801164090633392,Neutral
Soft,0.0,Neutral,0.1,Neutral,0.2742681205272674,Neutral
Fyff,0.0,Neutral,0.0,Neutral,0.2599238753318786,Neutral
These lyrics break you apart but her voice heals you just as much.,0.0,Neutral,0.2,Neutral,-0.4254399538040161,Negative
playing this song while reading socorro,0.2023,Positive,0.0,Neutral,0.3561619818210602,Positive
Why does this sound like stars are blind by Paris hilton,-0.0516,Negative,-0.0499999999999999,Negative,-0.593901515007019,Negative
"Livin’ in the past is the new generation
(Simile)",0.0,Neutral,-0.0568181818181818,Negative,0.4298869371414184,Positive
Go Away leave it to me did you remember me my ex ok did you remember me now Taylor my princess you know ok,0.4939,Positive,0.5,Positive,-0.3982662856578827,Negative
24M,0.0,Neutral,0.0,Neutral,0.250919908285141,Neutral
Taylor's songs and the comments on her songs are the reason of my improved english lately I swear😭🦋,-0.0516,Negative,-0.15,Negative,0.3590580821037292,Positive
champagne problems,-0.128,Negative,0.0,Neutral,-0.3215222358703613,Negative
I always think this song is about two live-in partners and tried to break the status quo,0.0,Neutral,0.0,Neutral,-0.2812337875366211,Negative
Overthink time,0.0,Neutral,0.0,Neutral,-0.4026667773723602,Negative
Katy Perry did it better,0.4404,Positive,0.5,Positive,0.3592346906661987,Positive
🎼🎵🎶🌹😘,0.4215,Positive,0.0,Neutral,0.3085779249668121,Neutral
❤️,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
"This, should've at least gotten a SOTY nomination",0.0,Neutral,-0.3,Negative,-0.3521952629089355,Negative
"she co-wrote this SADDEST song with her boyfriend, while also in a happy relationship. WOW, just wow. Best couple",0.8902,Positive,0.5,Positive,0.7141088247299194,Positive
"24,606",0.0,Neutral,0.0,Neutral,0.2420611530542373,Neutral
this song alone deserved the grammy ....,-0.25,Negative,0.0,Neutral,0.4790763556957245,Positive
"Para los swifties Evemore siempre será álbum del año, un álbum que sólo tuvo una nominación y que taylor no le tomo mucha importancia pero las letras de cada canción son mágicas, perfectas que se merecía el Grammy álbum del año",0.7227,Positive,0.425,Positive,0.427679568529129,Positive
Can’t believe it’s been a year already.,0.0,Neutral,0.0,Neutral,-0.3396738469600677,Negative
evermore didn't win AOTY despite having the best lyricism and production and will forever be overshadowed by folklore. But at least we got a nomination 🙃🤎,-0.4973,Negative,0.5,Positive,0.4108205735683441,Positive
Every other songs in Evermore album can solely win album of the year. No album can top this song,0.5267,Positive,0.3916666666666666,Positive,-0.3915387392044067,Negative
Album of the year for evermore manifesting,0.0,Neutral,0.0,Neutral,0.785631000995636,Positive
champagne problems soty,-0.128,Negative,0.0,Neutral,0.3588591814041137,Positive
AOTY = Evermore 🙏,0.0,Neutral,0.0,Neutral,0.3683319091796875,Positive
Grammys tonight!!! Evermore deserves so many awards,0.6315,Positive,0.5,Positive,0.9289180040359496,Positive
