Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Justin need little help my only love white polish rabbit disappear 💕 fucking government assholes I save them they from God only just white polish rabbit 🐰 help me 🦋 find her. You Kool little man ♂️ just want My Peggy sue back,.  Bruce lee In fight Mode",0.8917,Positive,-0.0527777777777777,Negative,-0.4656696617603302,Negative
This song is already 5 years old😪,0.0,Neutral,0.0,Neutral,0.4840016961097717,Positive
🇲🇦🇲🇦🇲🇦🇲🇦🕴️🕴️🕴️🕴️🕺🕺🕺,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
😎😎😎😎😈😈,0.9517,Positive,0.0,Neutral,0.3085779249668121,Neutral
Ex batallion copied beat,0.0,Neutral,0.0,Neutral,-0.3795562088489532,Negative
very happy lyrics,0.6115,Positive,1.0,Positive,0.5812777280807495,Positive
Justin are next nevel swag 😎😎😎😎,0.9001,Positive,0.0,Neutral,0.3196257948875427,Neutral
Where did the time go with this song,0.0,Neutral,0.0,Neutral,0.246321365237236,Neutral
28-04-2022,0.0,Neutral,0.0,Neutral,-0.3028060793876648,Negative
Fan of Justin Bieber like This,0.5859,Positive,0.0,Neutral,0.589698314666748,Positive
Tue morning,0.0,Neutral,0.0,Neutral,-0.3177001178264618,Negative
DJ diabetes 🤡,0.0,Neutral,0.0,Neutral,0.2566954493522644,Neutral
This track still HoTT as the first day,0.0,Neutral,0.25,Positive,0.4041613340377807,Positive
https://youtu.be/0nl42UpltAg,0.0,Neutral,0.0,Neutral,-0.2816949486732483,Negative
Badass,0.34,Positive,0.0,Neutral,0.3908810615539551,Positive
I liked this when i was the original one being imitated,0.6249,Positive,0.4875,Positive,0.3867347836494446,Positive
"sounds same like it was just released an hour ago, everyone  on this shit is a legend",-0.4118,Negative,-0.1,Negative,-0.5480107069015503,Negative
We all know Beiber is the one who made this song something and brought the views. He is making all these rappers famous since 2009.,0.0,Neutral,0.5,Positive,0.7090660929679871,Positive
Love that Takeoff and Offset are in the vid too,0.6369,Positive,0.5,Positive,0.6612754464149475,Positive
This song is never old❤️😩,-0.2732,Negative,0.0,Neutral,-0.7648800611495972,Negative
việt nam,0.0,Neutral,0.0,Neutral,0.3306102752685547,Positive
Since you biting my style come and give me 10000 dollars,0.0,Neutral,0.0,Neutral,-0.3907376825809479,Negative
Quit immitating my bad mammajamma,-0.5423,Negative,-0.6999999999999998,Negative,-0.605391263961792,Negative
Stop drop open up shop freeeze...lol,-0.5106,Negative,0.0,Neutral,-0.7134814858436584,Negative
It’s this song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times.  I hope everyone is doing well. I love you ❤️💕,0.9186,Positive,0.037037037037037,Positive,0.7126774191856384,Positive
Quem que nunca foi em um hospital velar corpos Man e tirar soro e sono filho do dono,0.0,Neutral,0.0,Neutral,-0.398041695356369,Negative
POV DJ Khaled is older than Justin Bieber's father,0.0,Neutral,0.1666666666666666,Positive,0.2615512609481811,Neutral
Khaled mobile legends 🤣😂😂,0.8402,Positive,0.0,Neutral,0.5376238226890564,Positive
good👍,0.4404,Positive,0.0,Neutral,0.3085779249668121,Neutral
nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
បទនេះឡូយណាស់🔥,-0.022,Neutral,0.4549999999999999,Positive,0.3085779249668121,Neutral
is this allah's paradise ?,0.6369,Positive,0.0,Neutral,-0.3671116530895233,Negative
its been 5 years? what in the....,0.0,Neutral,0.0,Neutral,-0.2904551327228546,Negative
This is my MFN jam!!!,0.0,Neutral,0.0,Neutral,0.8462697863578796,Positive
Best song ever!!!,0.7249,Positive,1.0,Positive,0.9564169645309448,Positive
i thought i was the only one who was leastening to this masterpiece in 2022,0.7073,Positive,0.0,Neutral,-0.2283793240785598,Negative
@SkullzRillaMuzik This Song Gone Play Forever Forever Forever!,0.4003,Positive,0.0,Neutral,0.6804781556129456,Positive
Bravo à vous,0.5994,Positive,0.0,Neutral,0.705812931060791,Positive
This song and “Did You Call Me” by Lukaz are some of the only things getting me through tough times. I hope everyone is doing well. I love you! 🥀🥀,0.8398,Positive,0.0787037037037037,Positive,0.8224565982818604,Positive
https://youtube.com/channel/UCfQ-twQKpfLxVwmhjFFSKlg,0.0,Neutral,0.0,Neutral,-0.2450363039970398,Negative
TOP TOP TOP TOP TOP,0.7184,Positive,0.5,Positive,0.8938859105110168,Positive
Still listening this 2022. It never get old.,0.0,Neutral,0.1,Positive,0.4466719925403595,Positive
DELICIA,0.5719,Positive,1.0,Positive,0.2799972891807556,Neutral
"My favorite part:😎 
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Oh-eh-oh-oh-oh, eh-oh
I'm the one
Oh-eh-oh-oh-oh, eh-oh
I'm the only one
Yeah, yeah!",0.8655,Positive,0.1666666666666666,Positive,0.7735695838928223,Positive
I love it.❤️,0.6369,Positive,0.5,Positive,0.8648291230201721,Positive
I remember when this song was big.,0.0,Neutral,0.0,Neutral,0.2739015817642212,Neutral
#GoHomeGota2022,0.0,Neutral,0.0,Neutral,0.2325864434242248,Neutral
