Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
"Its 2022 and I'm still pursuing that dream of singing this song, with correct accent 😍",0.6124,Positive,0.0,Netural,0.5469996333122253,Positive
This song is  energy drink to me 🤤,0.2732,Positive,0.0,Netural,0.6435281038284302,Positive
I love this song but i don't watch this movie i know why,0.3818,Positive,0.5,Positive,0.26933643221855164,Netural
Nistalgiya,0.0,Neutral,0.0,Netural,-0.3742573857307434,Negative
Still Listing This Legendary Song in 2022,0.0,Neutral,1.0,Positive,0.6406155228614807,Positive
Life Ho toh yesi😂,0.6808,Positive,0.0,Netural,0.4552367627620697,Positive
Very nice,0.4754,Positive,0.78,Positive,0.6515336632728577,Positive
"Do not understand most of the linws of this song, still love it🥰",0.91,Positive,0.5,Positive,0.5249226093292236,Positive
2022 I also like this song,0.3612,Positive,0.0,Netural,0.5612716674804688,Positive
House party with mr.J,0.4019,Positive,0.0,Netural,0.3367929458618164,Positive
"😍❤️ in songs ki baat hi alg h  ,  aj kl k song toh chi chi ari bap pa itna ganda 🤣 , song to ye h",0.0,Neutral,0.0,Netural,0.2652047872543335,Netural
"It is difficult for people of other countries languages to understand the language spoken in two countries, so only if both languages ​​are the same can be understood",-0.3612,Negative,-0.15625,Negative,0.4490226209163666,Positive
Is this thier original voice??,0.3939,Positive,0.375,Positive,-0.3954271674156189,Negative
This movie is amazing and this song is a vibe,0.5859,Positive,0.6000000000000001,Positive,0.7910255789756775,Positive
no one's appreciating SHANKAR-ESHAAN-LOY,-0.5996,Negative,0.0,Netural,-0.25274839997291565,Negative
This 4minute of music video teach us how to live each and every sec of life🖤🤗,0.7906,Positive,0.018181818181818174,Netural,0.6365011930465698,Positive
♥️,0.6369,Positive,0.0,Netural,0.3810153007507324,Positive
Evergreen,0.0,Neutral,0.0,Netural,0.6813486814498901,Positive
"entire Deol family sucks in dancing, i don't know if i should call Bobby a Deol.",-0.3612,Negative,-0.15,Negative,-0.6332695484161377,Negative
"Kidher hai tu........

We made a parody of this song in school...😂😂",0.7003,Positive,0.0,Netural,-0.3549155294895172,Negative
We danced to this song at school.,0.0,Neutral,0.0,Netural,0.5189730525016785,Positive
Ye gana 90 ke dasak wale jyada samjhnge 😂,0.0,Neutral,0.0,Netural,-0.3327164053916931,Negative
So ap kya kahnge mr. Kakkar 😂,0.0,Neutral,0.0,Netural,-0.25013330578804016,Negative
Suno suno  senorita khete h hum...,0.0,Neutral,0.0,Netural,-0.36672255396842957,Negative
I m still coming here for some Senorita vibes 😉❤️,0.0,Neutral,0.0,Netural,0.4409852623939514,Positive
"the girls are so, so, so beautiful",0.7177,Positive,0.85,Positive,0.3155352771282196,Netural
Yeh gana sirf indians aur spain wale hi samajh sakte hai😂,0.4404,Positive,0.0,Netural,-0.24245423078536987,Negative
Mujhe apne bachpan ke din yad a Gaye 🙂🙂🤗🤗,0.0,Neutral,0.0,Netural,-0.27327513694763184,Negative
Iss song mai senorita thodi aged nhi hai 😂,0.0,Neutral,-0.1,Negative,-0.5020888447761536,Negative
Still fav,0.4588,Positive,0.0,Netural,0.3756609559059143,Positive
Why don't  bolloywood make movie like this anymore 😪💔💔,0.6908,Positive,0.0,Netural,-0.31809481978416443,Negative
aneone here in 2022🤩🤩🤩🤩🤩🤩,0.0,Neutral,0.0,Netural,0.3097342848777771,Netural
sept2015-march2022💕 time did fly in these 6 years.. love u 2015,0.8591,Positive,0.65,Positive,0.7033320665359497,Positive
I always play this song when I go some where,0.34,Positive,0.0,Netural,0.5537632703781128,Positive
Old days neval come back 🧐😔😖just remember memories and smile 🤗,0.6808,Positive,0.13333333333333333,Netural,0.610397458076477,Positive
Russian,0.0,Neutral,0.0,Netural,0.22986972332000732,Netural
mujhe sunke accha lagta hey senorita,0.6369,Positive,0.5,Positive,-0.3596053421497345,Negative
🙏🏿🕉🙏🏾🕉,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
Kisi unknown city me unknown street pe karenge dance aise with friends,0.4767,Positive,-0.1,Negative,-0.40017127990722656,Negative
Ppl still watching this in 2022,0.0,Neutral,0.0,Netural,0.41344740986824036,Positive
Dear Tony Kakkar fans. Kabhi Kabhi ye masterpieces bhi sun liya karo ohir value Kar paoge,0.6249,Positive,0.15,Netural,0.6246246695518494,Positive
😔,0.0772,Positive,0.0,Netural,0.30857792496681213,Netural
Awesome 👌SILENCE 🔕😎👌,0.9333,Positive,1.0,Positive,0.8653696775436401,Positive
This songs makes my life easy,0.4404,Positive,0.43333333333333335,Positive,0.6380335688591003,Positive
🕺💃,0.0,Neutral,0.0,Netural,0.30857792496681213,Netural
There is big difference in Today's hritik and That time hritik 🥺. Though Today one is awesome but I am fan of that Time hritik 🥺I want him back,0.714,Positive,0.3333333333333333,Positive,0.37828677892684937,Positive
The fact all three of them are singing like proffesional singers,0.3612,Positive,0.0,Netural,-0.33177322149276733,Negative
the level of bollywood of that time,0.0,Neutral,0.0,Netural,0.3345906138420105,Positive
I'm new subscriber....I love hrithik,0.6369,Positive,0.3181818181818182,Netural,0.7779525518417358,Positive
"I love this movie, and this song, and I'm so happy that they recorded it here in Spain",0.8733,Positive,0.65,Positive,0.8748779296875,Positive
Nostalgic..........,0.0,Neutral,-0.5,Negative,0.5390870571136475,Positive
This song is everything ❤️❤️❤️❤️❤️,0.0,Neutral,0.0,Netural,0.6845819354057312,Positive
"Look at hritik, choreo soch raha hoga sala mujse bhi accha ye kar raha hai 😂",0.0,Neutral,0.0,Netural,-0.45144975185394287,Negative
Singer is all three star,0.0,Neutral,0.0,Netural,0.960226833820343,Positive
Good songs ❤🌈🔥,0.6908,Positive,0.7,Positive,0.4702215790748596,Positive
hrithik roshan <3 <3 <3,0.8271,Positive,1.0,Positive,0.29621413350105286,Netural
Heart touching 💕💕💕,0.959,Positive,0.5,Positive,0.3941532075405121,Positive
Forever gold,0.0,Neutral,0.0,Netural,0.8173149228096008,Positive
Kon kon ye song mind me aate hi YouTube pe aa gye 😂🙂,0.0,Neutral,0.0,Netural,-0.2612656354904175,Negative
Nice,0.4215,Positive,0.6,Positive,0.4368410110473633,Positive
Lyrics awesome,0.6249,Positive,1.0,Positive,0.716187059879303,Positive
"2022,😎😎",0.7184,Positive,0.0,Netural,0.2627253532409668,Netural
6 year old me ending my day with the 2 aliens of 9XM like:,0.3612,Positive,0.1,Netural,0.4026479423046112,Positive
