Comment,Vader score,Vader label,TextBlob score,TextBlob label,BERT score,BERT label
2022?,0.0,Neutral,0.0,Neutral,-0.3836294710636139,Negative
Alguno en 2022?😢✌,0.0258,Neutral,0.0,Neutral,-0.4356375634670257,Negative
😀😁,0.6705,Positive,0.0,Neutral,0.3085779249668121,Neutral
Rompiendo pauloooooo🤙🏽🤙🏽🤙🏽,0.8625,Positive,0.0,Neutral,-0.6261880993843079,Negative
"Con esta canción empecé a escuchar Paulo
Fue muy difícil esperar tanto por un nuevo tema pero a valido la pena",0.1163,Positive,-0.0659090909090909,Negative,0.2979567050933838,Neutral
Ya en 2022 y sigo escuchándola. la gente ya se olvido de este tema :(,-0.4404,Negative,-0.75,Negative,-0.3895168006420135,Negative
2022 😍😍,0.7184,Positive,0.0,Neutral,0.2993581593036651,Neutral
Alguien en el 2022?,0.0,Neutral,0.0,Neutral,-0.5519518852233887,Negative
2022 cuántas personas  escuchando este temazo ❤️🙌,0.0,Neutral,0.5,Positive,-0.4753583073616028,Negative
Quien más lo está escuchando en el 2022,0.0,Neutral,0.0,Neutral,0.5419044494628906,Positive
Los amo a los dos🥺🥺💖❤,0.9413,Positive,0.5,Positive,0.5500059127807617,Positive
1:43,0.0,Neutral,0.0,Neutral,0.2232896238565445,Neutral
Alguien 2022,0.0,Neutral,0.0,Neutral,-0.459018349647522,Negative
después de: “no te debí besar” viene: “cuando te besé”🥲,0.1068,Positive,0.0,Neutral,0.3172451257705688,Neutral
Aver cuántas personas  escuchan este temazo en 2022? 🖇️,0.0,Neutral,0.5,Positive,-0.6063464283943176,Negative
alguien más escuchando esto en 2022,0.0,Neutral,0.0,Neutral,0.2916582226753235,Neutral
Gracias becky!,0.0,Neutral,0.0,Neutral,0.6230221390724182,Positive
Quien mas escuchandoooo por aquí? 2022,0.0,Neutral,0.0,Neutral,0.3655674159526825,Positive
Tenemos que llegar al billón 🔥🔥,-0.5719,Negative,0.0,Neutral,-0.2814555764198303,Negative
Xd está cansino nos define a mi amigo y a mi uwu,0.6249,Positive,-0.4,Negative,-0.5112665891647339,Negative
💀👵💀👵💀👵💀👵,0.0,Neutral,0.0,Neutral,0.3085779249668121,Neutral
😎😎😎😎👁️👄👁️,0.9001,Positive,0.0,Neutral,0.3085779249668121,Neutral
"4.2 M 🤩☺️🎂, amo esta canción desde que salió",0.802,Positive,0.5,Positive,0.6863364577293396,Positive
"Hace 3 años, no paraba de escuchar esta canción por mi hermano. Él desgraciadamente falleció hace dos meses en un accidente de auto y me acordé de este temazo. A día de hoy lo sigo escuchando y recuerdo las veces en las que mi hermano cantaba a todo pulmón esta canción... lo echo mucho de menos y ojalá que siguiera aquí.
Gracias por crear este temazo Paulo Londra y Becky G, me trae muy buenos recuerdos.🥺🥺🥺",0.954,Positive,0.3871428571428571,Positive,0.6420092582702637,Positive
Los extraño,-0.1531,Negative,0.0,Neutral,0.3532021343708038,Positive
ALGUIEN EN EL 2022 ESCUCHANDO ESTE HIMNO????,0.0,Neutral,0.0,Neutral,-0.6815214157104492,Negative
"Surgiste con PauLondra, y ni le haces caso, bailarina comenzaste, te pasaron la mano, y le dejaste como patada de burro.!",0.7421,Positive,0.0,Neutral,-0.518704891204834,Negative
Quien 2022?,0.0,Neutral,0.0,Neutral,-0.4324970543384552,Negative
ermosa la cansion,0.5994,Positive,0.85,Positive,0.3691961765289306,Positive
Aquí otra vez enamorado 😍,0.802,Positive,0.5,Positive,0.5902664661407471,Positive
2022,0.0,Neutral,0.0,Neutral,0.2900533974170685,Neutral
"Dia 13 de Maio vamos reproduzir bastante o novo álbum da RAINHA ! 
#Esquemas",0.4003,Positive,0.0852272727272727,Neutral,0.4621958434581756,Positive
"Cuando no quiere ver p()rn() de enanos albinos conmigo conmigo :""v:
-0:24",-0.0572,Negative,0.0,Neutral,-0.4268966019153595,Negative
Me encanta bekyg me encanta su músicas,0.8555,Positive,0.5,Positive,0.6757170557975769,Positive
Cuantas personas están activos en abril 2022🎶🎵,0.4019,Positive,0.1833333333333333,Neutral,-0.373740553855896,Negative
https://youtu.be/YqhyJYlYbgU vg,0.0,Neutral,0.0,Neutral,-0.2645009756088257,Negative
Escuchar esté temon es top,0.2023,Positive,0.5,Positive,0.6681994795799255,Positive
alguien en abril?,0.0,Neutral,0.0,Neutral,-0.5880424976348877,Negative
los mejores del pop 😁,0.802,Positive,1.0,Positive,0.8942322134971619,Positive
Nunca me voy a cansar de escuchar este temon,0.3412,Positive,-0.4,Negative,0.3394100666046142,Positive
Paren cuando diga becky denuevo parece una vampira mi reyna😍😍😘😘😗😚,0.9601,Positive,0.0,Neutral,-0.4658955633640289,Negative
Te amooo beckyyy😍😍😍😚😚😙😘😘😗,0.9887,Positive,0.5,Positive,-0.2866654992103576,Negative
Becky llegando con todo flow,0.0,Neutral,0.0,Neutral,0.5325015783309937,Positive
Ok pero la estatura de mi becky hermosa😍,0.899,Positive,0.675,Positive,0.608424186706543,Positive
Quién más en abril 21/2022,0.0,Neutral,0.0,Neutral,-0.4341635107994079,Negative
Alguien en 2022 x aqui escuchando este temon ♡,0.0,Neutral,0.0,Neutral,0.5021545886993408,Positive
Alguien en 2022,0.0,Neutral,0.0,Neutral,-0.3778897225856781,Negative
quien está escuchando este tema en abril del 2022 🎉🎉,0.6597,Positive,0.0,Neutral,-0.3365527689456939,Negative
"Pregunta. La instrumental de esta canción al inició es parecida a otra canción, a cual es me ayudan???",0.5007,Positive,0.0,Neutral,-0.3628531396389007,Negative
Cuantas personas estamos escuchando este temazo en 2022,0.0,Neutral,0.5,Positive,-0.4515128135681152,Negative
Cuántas personas escuchan este tema abril 2022,0.0,Neutral,0.5,Positive,-0.4750345349311828,Negative
alguien en el 2022 😢❤❤,0.743,Positive,0.0,Neutral,-0.4655989706516266,Negative
Aún enamorada de esta canción 2022❤️💫🥂,0.5106,Positive,0.5,Positive,0.6454098224639893,Positive
