,URL,ID,likes,dislikes,ratio
0,https://www.youtube.com/watch?v=feLcMaiClOw,feLcMaiClOw,312761,19093,16.381
1,https://www.youtube.com/watch?v=tASwv-tkMlc,tASwv-tkMlc,35026,165,212.279
2,https://www.youtube.com/watch?v=3U2dNKBM28o,3U2dNKBM28o,126427,6010,21.036
5,https://www.youtube.com/watch?v=ClQ-ymoXJZc,ClQ-ymoXJZc,1079676,8874,121.667
6,https://www.youtube.com/watch?v=8EJ3zbKTWQ8,8EJ3zbKTWQ8,11371069,1420624,8.004
7,https://www.youtube.com/watch?v=t99KH0TR-J4,t99KH0TR-J4,1435738,33092,43.386
8,https://www.youtube.com/watch?v=DovdIspaqmw,DovdIspaqmw,146007,5324,27.424
9,https://www.youtube.com/watch?v=DQQRjFzB8gY,DQQRjFzB8gY,870202,49922,17.431
10,https://www.youtube.com/watch?v=8DytqFTwNSc,8DytqFTwNSc,88001,2068,42.554
16,https://www.youtube.com/watch?v=2cyzCReoNgU,2cyzCReoNgU,78842,819,96.266
18,https://www.youtube.com/watch?v=VronettmNRI,VronettmNRI,496684,3395,146.299
20,https://www.youtube.com/watch?v=2Vv-BfVoq4g,2Vv-BfVoq4g,17602337,623794,28.218
21,https://www.youtube.com/watch?v=p5rQDKoBd6U,p5rQDKoBd6U,34994,290,120.669
23,https://www.youtube.com/watch?v=7MHlhHaLcTA,7MHlhHaLcTA,370369,2103,176.115
24,https://www.youtube.com/watch?v=Tq60c_SaExc,Tq60c_SaExc,1898763,95220,19.941
25,https://www.youtube.com/watch?v=Pkh8UtuejGw,Pkh8UtuejGw,18983629,567343,33.461
28,https://www.youtube.com/watch?v=2S24-y0Ij3Y,2S24-y0Ij3Y,22533352,1301441,17.314
31,https://www.youtube.com/watch?v=Z9b0Hj-BfaM,Z9b0Hj-BfaM,931130,15874,58.658
32,https://www.youtube.com/watch?v=TxdwvrawHuo,TxdwvrawHuo,761030,27488,27.686
33,https://www.youtube.com/watch?v=viimfQi_pUw,viimfQi_pUw,5437431,84166,64.604
34,https://www.youtube.com/watch?v=OSUxrSe5GbI,OSUxrSe5GbI,7308006,374269,19.526
