,URL,likes,dislikes
0,https://www.youtube.com/watch?v=ttWQK5VXskA,784677,25441
1,https://www.youtube.com/watch?v=5ula1NjaHUA,37445,723
2,https://www.youtube.com/watch?v=CPK_IdHe1Yg,3781735,145753
3,https://www.youtube.com/watch?v=QVLvD5_6ld0,224538,16484
4,https://www.youtube.com/watch?v=4bMOTTJqGgM,25754,9165
5,https://www.youtube.com/watch?v=KCwK2ECPDLA,42762,1603
6,https://www.youtube.com/watch?v=L40EFeYQmv8,85259,387
7,https://www.youtube.com/watch?v=Gl6ekgobG2k,444028,59264
8,https://www.youtube.com/watch?v=bheqvt6Z8S8,866,28
9,https://www.youtube.com/watch?v=evy4n3gW7LU,1015,22
10,https://www.youtube.com/watch?v=ItsENDU78rs,29794,233
11,https://www.youtube.com/watch?v=gxFPpAbLctk,54641,531
12,https://www.youtube.com/watch?v=wX8W4x2j_0s,29612,867
13,https://www.youtube.com/watch?v=1AKlxgybJwE,2796,458
14,https://www.youtube.com/watch?v=mLugzKRTf-0,2042742,80060
15,https://www.youtube.com/watch?v=v-sJ106h1dU,929872,43042
16,https://www.youtube.com/watch?v=99bGsbcKQZ0,14613,1954
17,https://www.youtube.com/watch?v=luQ0JWcrsWg,1217201,74624
18,https://www.youtube.com/watch?v=9WbCfHutDSE,4917826,178354
19,https://www.youtube.com/watch?v=b2Tk7s3yS2E,2429,157
20,https://www.youtube.com/watch?v=8kAWPnFUbPc,3354,7
21,https://www.youtube.com/watch?v=9ycKaF-64qg,121050,1126
22,https://www.youtube.com/watch?v=KtbVbCTzZd8,1116411,48127
23,https://www.youtube.com/watch?v=FIkoxCo46nQ,6082,234
24,https://www.youtube.com/watch?v=vPwaXytZcgI,2862984,47772
25,https://www.youtube.com/watch?v=7MHlhHaLcTA,369191,2061
26,https://www.youtube.com/watch?v=32si5cfrCNc,14637426,633699
27,https://www.youtube.com/watch?v=9nClXHVdK4I,91796,4737
28,https://www.youtube.com/watch?v=dFp_b5DPIIo,1008018,35252
29,https://www.youtube.com/watch?v=0bLeqiVXkr8,2215,2
30,https://www.youtube.com/watch?v=iVXVYsCSWd8,17457,54
31,https://www.youtube.com/watch?v=jui_hVOwcVw,1527,5
32,https://www.youtube.com/watch?v=C6P6hrWyidA,654297,56454
33,https://www.youtube.com/watch?v=OD5sPf-Kgbc,17440,751
34,https://www.youtube.com/watch?v=GtSRKwDCaZM,5955076,604847
35,https://www.youtube.com/watch?v=HBi-qJZf4pE,4397,0
36,https://www.youtube.com/watch?v=8xg3vE8Ie_E,4261173,114739
37,https://www.youtube.com/watch?v=qleJpzB4q7A,848782,11720
38,https://www.youtube.com/watch?v=YM3uJ6RtBZM,234257,1472
39,https://www.youtube.com/watch?v=Am33ejZH0ew,998,151
40,https://www.youtube.com/watch?v=ZiACjuZI5F8,619,7
41,https://www.youtube.com/watch?v=qz2vodkoj7I,840332,23642
42,https://www.youtube.com/watch?v=RMc9qFrCqno,568883,25273
43,https://www.youtube.com/watch?v=rnMIWj_t3Ow,306693,6962
44,https://www.youtube.com/watch?v=XekMkIJ843w,183709,4176
45,https://www.youtube.com/watch?v=qzRIc14LC9U,334727,2667
46,https://www.youtube.com/watch?v=ED3xFj-jDI8,940188,133897
47,https://www.youtube.com/watch?v=TmKh7lAwnBI,7915026,305255
48,https://www.youtube.com/watch?v=XbGs_qK2PQA,17576797,506901
49,https://www.youtube.com/watch?v=7wtfhZwyrcc,19234585,563265
50,https://www.youtube.com/watch?v=FbQB2TvRe0A,8753,650
51,https://www.youtube.com/watch?v=HhjHYkPQ8F0,4284000,72246
52,https://www.youtube.com/watch?v=ssvrReWSQpk,234333,13331
53,https://www.youtube.com/watch?v=HDyXbkLgmUs,258825,15205
54,https://www.youtube.com/watch?v=XqZsoesa55w,34721770,15955620
55,https://www.youtube.com/watch?v=mpsPysoi1PU,2329,27
56,https://www.youtube.com/watch?v=DwmArG9RGr0,1743,49
57,https://www.youtube.com/watch?v=qclWIFxq2F4,173846,13920
58,https://www.youtube.com/watch?v=fKopy74weus,11153737,511975
59,https://www.youtube.com/watch?v=v2ERulDdSBU,948,1
60,https://www.youtube.com/watch?v=zrJtFy51fRo,189154,7149
61,https://www.youtube.com/watch?v=zLpVBsvcrAg,231620,2527
62,https://www.youtube.com/watch?v=SeeKlms3ik8,14484,5224
63,https://www.youtube.com/watch?v=DmKpePzn5-c,878588,134363
64,https://www.youtube.com/watch?v=mwatzFa-2I0,105595,2867
65,https://www.youtube.com/watch?v=j64oZLF443g,536644,2795
66,https://www.youtube.com/watch?v=o18ToVy9Xsc,2728,54
67,https://www.youtube.com/watch?v=WMweEpGlu_U,21765909,496770
68,https://www.youtube.com/watch?v=ut4ZS7DE02s,199991,900
69,https://www.youtube.com/watch?v=BXLKPrmKMfM,5809,205
70,https://www.youtube.com/watch?v=U8c0moGaDzM,23086,1770
71,https://www.youtube.com/watch?v=yUi_S6YWjZw,1218021,33170
72,https://www.youtube.com/watch?v=wRglA9_3F1U,178,4
73,https://www.youtube.com/watch?v=wI5zWSDiF3s,74625,786
74,https://www.youtube.com/watch?v=heaYw-10T18,209319,4867
75,https://www.youtube.com/watch?v=t99KH0TR-J4,1433506,32806
76,https://www.youtube.com/watch?v=wvpoGzmd5v4,65364,1306
77,https://www.youtube.com/watch?v=dNCWe_6HAM8,11332596,224602
78,https://www.youtube.com/watch?v=1GS7wxWPaxc,3106476,75993
79,https://www.youtube.com/watch?v=zrwTYozyzYA,276737,4466
80,https://www.youtube.com/watch?v=frNjBYk3SRw,405109,23570
81,https://www.youtube.com/watch?v=l3RfXVxo6pQ,4760,5
82,https://www.youtube.com/watch?v=ynqibTQqlaY,118015,6041
83,https://www.youtube.com/watch?v=sBspSJWRT2E,1021866,29885
84,https://www.youtube.com/watch?v=L-D1z0yglk0,3445,135
85,https://www.youtube.com/watch?v=W0DM5lcj6mw,4200940,114742
86,https://www.youtube.com/watch?v=MbeNyTzksFQ,69695,1684
87,https://www.youtube.com/watch?v=CRYJshFLnAU,21290,7
88,https://www.youtube.com/watch?v=3U2dNKBM28o,124130,5583
89,https://www.youtube.com/watch?v=ven84VuUD9w,279,1
90,https://www.youtube.com/watch?v=E0zLBQaqFMc,1691,18
91,https://www.youtube.com/watch?v=pivktB6BFuw,17269,7675
92,https://www.youtube.com/watch?v=Y5WMMFQUP4I,32098,2252
93,https://www.youtube.com/watch?v=N97saaTR7JE,2099599,39109
94,https://www.youtube.com/watch?v=HGXxDOZ-Icg,791,8
95,https://www.youtube.com/watch?v=anbrC6s0RD4,241083,9759
96,https://www.youtube.com/watch?v=D9G1VOjN_84,3941022,30472
97,https://www.youtube.com/watch?v=8w7chA9Wnuw,616522,4205
98,https://www.youtube.com/watch?v=TOg39GWD5-E,28062,165
99,https://www.youtube.com/watch?v=g8545eNAGSo,7747,559
100,https://www.youtube.com/watch?v=6NUnTuzJ5EM,1548,23
101,https://www.youtube.com/watch?v=OBB-0OCCN9U,138933,4137
102,https://www.youtube.com/watch?v=nDP9sOUI6ps,28851,166
103,https://www.youtube.com/watch?v=JGwWNGJdvx8,29579836,1442048
104,https://www.youtube.com/watch?v=ffxKSjUwKdU,7986106,336840
105,https://www.youtube.com/watch?v=zJhdqKEViMk,8846,12
106,https://www.youtube.com/watch?v=NxilU56kPu0,46071,1782
107,https://www.youtube.com/watch?v=VDRSRrytyx8,2190,29
108,https://www.youtube.com/watch?v=g6leIzDuAwg,14485,292
109,https://www.youtube.com/watch?v=1D5cxbDbKMc,224484,3434
110,https://www.youtube.com/watch?v=bibIWBTD_tE,370097,12735
111,https://www.youtube.com/watch?v=kPhpHvnnn0Q,692842,14210
112,https://www.youtube.com/watch?v=6XpLpTiBCQQ,4188,26
113,https://www.youtube.com/watch?v=RNzQdcPWWX4,1872880,57960
114,https://www.youtube.com/watch?v=Q4a9uwV4nmo,580371,54957
115,https://www.youtube.com/watch?v=3R0AlwgcyDE,128110,1491
116,https://www.youtube.com/watch?v=2sn45qRAEzE,309473,3323
117,https://www.youtube.com/watch?v=EIzcw5fVUtY,10255,209
118,https://www.youtube.com/watch?v=1VxNiJ0Zt9k,407,2
119,https://www.youtube.com/watch?v=2bHBUs-k3ac,10268,394
120,https://www.youtube.com/watch?v=AX-J0jFNjFY,946,44
121,https://www.youtube.com/watch?v=qBsXCetqFak,31350,421
122,https://www.youtube.com/watch?v=QY-UcgUi6zI,20537,650
123,https://www.youtube.com/watch?v=m8Xt0yXaDPU,97787,2563
124,https://www.youtube.com/watch?v=QsC1BinUPxo,81082,1626
125,https://www.youtube.com/watch?v=6G7GulQJUIU,409342,33363
126,https://www.youtube.com/watch?v=D4hzD-J-CrU,1319,4
127,https://www.youtube.com/watch?v=oyEuk8j8imI,7798187,517154
128,https://www.youtube.com/watch?v=2cyzCReoNgU,62301,417
129,https://www.youtube.com/watch?v=gm3-m2CFVWM,178563,6726
130,https://www.youtube.com/watch?v=h_D3VFfhvs4,7236363,219090
131,https://www.youtube.com/watch?v=j440-D5JhjI,215161,14049
132,https://www.youtube.com/watch?v=ZSgVayPHuB8,294015,19700
133,https://www.youtube.com/watch?v=c8ztudg6N3k,80787,2207
134,https://www.youtube.com/watch?v=_JOnM3jmY0o,3389469,186257
135,https://www.youtube.com/watch?v=-8MQVIHTjIQ,1301,213
136,https://www.youtube.com/watch?v=ayd3yWr4tqU,2942286,79336
